#Tb,clkfile,texp,binfile
160.45,p02n00001,0.1,./wrk20230203/20230203-113708.bin
160.45,p02n00010,1.0,./wrk20230203/20230203-113821.bin
160.45,p02n00050,5.0,./wrk20230203/20230203-113943.bin
#
165.24,p02n00001,0.1,./wrk20230203/20230203-115609.bin
165.06,p02n00010,1.0,./wrk20230203/20230203-115701.bin
164.94,p02n00050,5.0,./wrk20230203/20230203-115808.bin
#
170.38,p02n00001,0.1,./wrk20230203/20230203-123420.bin
170.39,p02n00010,1.0,./wrk20230203/20230203-123526.bin
170.39,p02n00050,5.0,./wrk20230203/20230203-123627.bin
#
175.01,p02n00001,0.1,./wrk20230203/20230203-125202.bin
175.07,p02n00010,1.0,./wrk20230203/20230203-125314.bin
175.10,p02n00050,5.0,./wrk20230203/20230203-125414.bin
#
179.82,p02n00001,0.1,./wrk20230203/20230203-130823.bin
179.90,p02n00010,1.0,./wrk20230203/20230203-130919.bin
179.95,p02n00050,5.0,./wrk20230203/20230203-131008.bin
#
185.31,p02n00001,0.1,./wrk20230203/20230203-133630.bin
185.33,p02n00010,1.0,./wrk20230203/20230203-133712.bin
185.36,p02n00050,5.0,./wrk20230203/20230203-133910.bin
#








